Date	Price	Dividend	Earnings	CPI	DateFraction	GS10	RealPrice	RealDividend	RealEarnings	CAPE
1871.01	4.44	0.26	0.4	12.46	1871.04	5.32	89.05	5.21	8.02	NA
1871.02	4.5	0.26	0.4	12.84	1871.13	5.32	87.58	5.06	7.78	NA
1871.03	4.61	0.26	0.4	13.03	1871.21	5.33	88.41	4.99	7.67	NA
1871.04	4.74	0.26	0.4	12.56	1871.29	5.33	94.34	5.17	7.96	NA
1871.05	4.86	0.26	0.4	12.27	1871.38	5.33	98.98	5.3	8.15	NA
1871.06	4.82	0.26	0.4	12.08	1871.46	5.34	99.71	5.38	8.27	NA
1871.07	4.73	0.26	0.4	12.08	1871.54	5.34	97.85	5.38	8.27	NA
1871.08	4.79	0.26	0.4	11.89	1871.63	5.34	100.68	5.46	8.41	NA
1871.09	4.84	0.26	0.4	12.18	1871.71	5.35	99.34	5.34	8.21	NA
1871.1	4.59	0.26	0.4	12.37	1871.79	5.35	92.76	5.25	8.08	NA
1871.11	4.64	0.26	0.4	12.37	1871.88	5.35	93.77	5.25	8.08	NA
1871.12	4.74	0.26	0.4	12.65	1871.96	5.36	93.63	5.14	7.9	NA
1872.01	4.86	0.26	0.4	12.65	1872.04	5.36	96	5.2	7.95	NA
1872.02	4.88	0.27	0.41	12.65	1872.13	5.38	96.4	5.27	8	NA
1872.03	5.04	0.27	0.41	12.84	1872.21	5.4	98.09	5.25	7.93	NA
1872.04	5.18	0.27	0.41	13.13	1872.29	5.42	98.62	5.2	7.81	NA
1872.05	5.18	0.28	0.41	13.13	1872.38	5.43	98.62	5.27	7.85	NA
1872.06	5.13	0.28	0.42	13.03	1872.46	5.45	98.38	5.37	7.96	NA
1872.07	5.1	0.28	0.42	12.84	1872.54	5.47	99.25	5.51	8.13	NA
1872.08	5.04	0.29	0.42	12.94	1872.63	5.49	97.36	5.54	8.11	NA
1872.09	4.95	0.29	0.42	13.03	1872.71	5.51	94.93	5.56	8.1	NA
1872.1	4.97	0.29	0.43	12.75	1872.79	5.53	97.45	5.75	8.33	NA
1872.11	4.95	0.3	0.43	13.13	1872.88	5.54	94.24	5.65	8.14	NA
1872.12	5.07	0.3	0.43	12.94	1872.96	5.56	97.94	5.8	8.31	NA
1873.01	5.11	0.3	0.43	12.94	1873.04	5.58	98.72	5.84	8.36	NA
1873.02	5.15	0.31	0.44	13.23	1873.13	5.57	97.34	5.76	8.22	NA
1873.03	5.11	0.31	0.44	13.23	1873.21	5.56	96.59	5.81	8.27	NA
1873.04	5.04	0.31	0.44	13.23	1873.29	5.55	95.26	5.86	8.32	NA
1873.05	5.05	0.31	0.44	12.94	1873.38	5.54	97.56	6.04	8.55	NA
1873.06	4.98	0.32	0.45	12.56	1873.46	5.53	99.12	6.27	8.86	NA
1873.07	4.97	0.32	0.45	12.56	1873.54	5.53	98.92	6.32	8.91	NA
1873.08	4.97	0.32	0.45	12.56	1873.63	5.52	98.92	6.37	8.96	NA
1873.09	4.59	0.32	0.45	12.56	1873.71	5.51	91.36	6.42	9.01	NA
1873.1	4.19	0.33	0.46	12.27	1873.79	5.5	85.34	6.62	9.27	NA
1873.11	4.04	0.33	0.46	11.89	1873.88	5.49	84.91	6.88	9.62	NA
1873.12	4.42	0.33	0.46	12.18	1873.96	5.48	90.72	6.77	9.44	NA
1874.01	4.66	0.33	0.46	12.37	1874.04	5.47	94.18	6.67	9.3	NA
1874.02	4.8	0.33	0.46	12.37	1874.13	5.44	97.01	6.67	9.3	NA
1874.03	4.73	0.33	0.46	12.37	1874.21	5.4	95.59	6.67	9.3	NA
1874.04	4.6	0.33	0.46	12.18	1874.29	5.37	94.42	6.77	9.44	NA
1874.05	4.48	0.33	0.46	12.08	1874.38	5.34	92.68	6.83	9.52	NA
1874.06	4.46	0.33	0.46	11.8	1874.46	5.3	94.5	6.99	9.75	NA
1874.07	4.46	0.33	0.46	11.89	1874.54	5.27	93.74	6.94	9.67	NA
1874.08	4.47	0.33	0.46	11.8	1874.63	5.24	94.71	6.99	9.75	NA
1874.09	4.54	0.33	0.46	11.8	1874.71	5.2	96.19	6.99	9.75	NA
1874.1	4.53	0.33	0.46	11.61	1874.79	5.17	97.55	7.11	9.91	NA
1874.11	4.57	0.33	0.46	11.51	1874.88	5.14	99.23	7.17	9.99	NA
1874.12	4.54	0.33	0.46	11.51	1874.96	5.1	98.58	7.17	9.99	NA
1875.01	4.54	0.33	0.45	11.51	1875.04	5.07	98.58	7.11	9.81	NA
1875.02	4.53	0.33	0.44	11.51	1875.13	5.03	98.36	7.06	9.63	NA
1875.03	4.59	0.32	0.44	11.51	1875.21	4.99	99.66	7	9.45	NA
1875.04	4.65	0.32	0.43	11.61	1875.29	4.95	100.14	6.89	9.19	NA
1875.05	4.47	0.32	0.42	11.32	1875.38	4.91	98.69	7.01	9.24	NA
1875.06	4.38	0.32	0.41	11.13	1875.46	4.87	98.36	7.07	9.21	NA
1875.07	4.39	0.31	0.4	11.13	1875.54	4.83	98.58	7.02	9.02	NA
1875.08	4.41	0.31	0.39	11.23	1875.63	4.79	98.19	6.9	8.76	NA
1875.09	4.37	0.31	0.39	11.13	1875.71	4.75	98.13	6.91	8.65	NA
1875.1	4.3	0.31	0.38	11.13	1875.79	4.71	96.56	6.85	8.46	NA
1875.11	4.37	0.3	0.37	11.04	1875.88	4.67	98.98	6.85	8.34	NA
